latitude,longitude,cluster,dbscan_cluster
1.4187785084125486,-0.6508075217024694,5,0
-0.07422174669855956,-0.07764491827659573,0,1
-0.04549074982869706,-0.14004469295889596,0,1
1.3171180631260424,-0.6605611859899526,5,0
0.08136664161527685,-0.16759930950051988,0,1
0.06943255278741789,0.002774640358672617,0,1
-0.07464867825200386,-0.13547861659213448,0,1
-0.320763226471869,0.14609501339484623,0,1
-3.3336941888802976,4.711851423972574,3,2
-0.09838680425800289,-0.07983904613577307,0,1
-0.23201867449987795,-0.047918417496315605,0,1
-1.0120019297142777,-0.712824682671652,4,3
-0.2341809105443208,-0.06433839053489115,0,1
-0.23146187504053653,-0.04756013322810968,0,1
0.08225745393428747,-0.1685046671832606,0,1
-1.0093478588050848,-0.7111721278116454,4,3
1.2286537650259213,-0.38651538177388406,5,0
-0.22467819791556717,-0.05930019215606488,0,1
-0.0747693199908595,-0.14701878456076134,0,1
0.8075259179460357,-1.0855235452076395,2,4
1.4247028546599385,-0.6340414843888915,5,0
0.08090254369792121,-0.16819355812132752,0,1
-1.0010051259489454,-0.7093722793477659,4,3
0.6072173124480607,-0.16464965399572937,0,1
0.36842458617462026,0.04039171056738115,0,1
-0.20474477727115437,-0.06554933636895789,0,1
-0.21268845141375287,-0.06530214855334951,0,1
-0.25561768972895516,-0.04937099690661418,0,1
0.9354598737206546,-0.8874784442100675,2,4
0.057275766447801225,-0.09396544493382489,0,1
0.08158010739199881,-0.1680713781865539,0,1
-4.6377630666140055,2.4639442629182873,1,5
-0.16146290115436746,-0.08459394997694826,0,1
0.833482052742324,-1.0238569901148111,2,4
-0.01693446549318648,0.12954727951910558,0,1
0.7971694480022904,-1.100338183088338,2,4
0.34911663506686874,-0.25690479792156906,0,1
1.3088662951386065,-0.6312085390123797,5,0
-0.21503629098997265,-0.06201093260122576,0,1
-0.037259527741310784,-0.14320816973755424,0,1
0.07855486002554989,-0.1664188228285658,0,1
-0.2138670121253566,-0.06176374311917902,0,1
1.342686294298988,-0.6323100548323057,5,0
1.3550583782855476,-0.4845786192010582,5,0
-1.0106748411591477,-0.7110666023051198,4,3
-3.082154465128342,-1.092247068901232,1,6
0.08404668445292358,-0.11496256948914553,0,1
-1.0807666484995644,0.7630288609146699,0,1
-3.2049677218752186,-1.0730463650023112,1,6
1.429558145945393,-0.5950084964159333,5,0
-1.0161036273916377,-0.711619149113986,4,3
-1.0131897886682741,-0.7126357538732305,4,3
-0.1123346307144987,-0.09669784907892405,0,1
0.7237424473007779,3.3911656182120455,3,2
1.5244590457954976,-0.5797655838518445,5,0
-0.04369063944862528,-0.13986695229953508,0,1
-0.31934338785054905,-0.05486468790814533,0,1
0.08218332722226517,-0.1681102828587659,0,1
-0.2622992832410488,-0.04988759282821343,0,1
-1.0831701661657223,0.7639426246684657,0,1
-3.2690442036561973,0.7313865274974932,1,5
-0.23708554957988204,-0.06481888140088583,0,1
0.011711012547715801,-0.10182770157287273,0,1
-1.0105077868780008,-0.7110081182894616,4,3
1.4425594133210087,-0.6307785978905331,5,0
-0.24858345841527696,-0.06501885401569843,0,1
-2.5022645322083203,4.008451084246248,3,2
-0.20370542199238045,-0.06722688497092051,0,1
-0.995882570923007,-0.7143549303335123,4,3
-0.1998913456958936,-0.055100767245000605,0,1
0.07949198135559386,-0.16699094947885998,0,1
-1.9660054049222702,3.509261112328069,3,2
-0.058937562563682745,-0.09388990027926421,0,1
-0.14018387996054857,-0.10311085918458673,0,1
-0.21029421373858598,-0.07470919364182439,0,1
0.230876556023383,0.00923764361803844,0,1
-1.0812120880670373,0.7623928369036682,0,1
-0.07152126932075478,-0.1243191031615572,0,1
0.11563763163374058,0.04026395139665419,0,1
0.08086558334981025,-0.1682741637494817,0,1
-0.07946304477719729,-0.06976875854150313,0,1
1.2050621719336367,-0.6622359566390081,5,0
-0.22995851650031537,-0.05636448251923948,0,1
0.08626646015349501,-0.16950176730236236,0,1
-3.9220697455606794,0.6779271818042643,1,5
0.34848188368321975,0.027040762242172646,0,1
-0.04421952098307509,-0.13906152593173154,0,1
-0.11928540892521085,-0.1269881359850222,0,1
-0.10315665466642204,-0.1347953718255429,0,1
0.1152942701111486,0.04003898220499015,0,1
0.41437909969624437,0.03188454224556266,0,1
0.18764107800554317,0.010867977019205485,0,1
0.7779246026892648,4.8693998485526615,3,2
-0.09229912645721015,-0.0799307002508957,0,1
-1.0894434400742956,0.7637843130150724,0,1
0.0819142149075764,-0.1680713781865539,0,1
0.11337331197642157,-0.12400633099404425,0,1
1.2768224862535236,-0.6387241764524194,5,0
0.3254953478594179,0.031176305901434956,0,1
0.055293560372546624,-0.09854981712840336,0,1
0.0616744821765963,-0.1134961036471865,0,1
1.4261226932812583,-0.5927838010761435,5,0
0.08171922930490993,-0.16873517061703971,0,1
-0.08962648905237255,-0.08055839262509225,0,1
0.38485202436738364,-0.039459575889743664,0,1
1.4232830160386185,-0.5944185772022361,5,0
-1.5054543001228358,3.4482244709719008,3,2
-0.24016650473223822,-0.060397263584626514,0,1
0.12650264322768562,-0.12338308301121163,0,1
-0.9960681707427856,-0.714441029653768,4,3
-0.03765854136986385,-0.1438969404140686,0,1
-0.226858997653985,-0.056892188586029964,0,1
-0.9966435559555659,-0.7119664933113594,4,3
-0.2032970986768672,-0.07897527609115937,0,1
-3.2889776243006104,-1.1112378015545998,1,6
0.0007978378005374865,-0.09939194513677886,0,1
-0.17268241026009168,-0.07330938533813654,0,1
-1.9782271530548086,0.6141209197329415,4,7
-0.006366484138821422,-0.09152075972047974,0,1
-1.0837919255619828,0.7640898267321483,0,1
0.5239572332945819,-0.15326787933597985,0,1
-0.21897100345732048,-0.060927747604324345,0,1
0.1289822549639536,0.014070315142675816,0,1
-0.2305709959055908,-0.06704079878776838,0,1
0.011404772845077897,-0.10335804700019512,0,1
0.1152200320392347,0.040383378375097256,0,1
0.18865259887934416,0.012926028513318371,0,1
0.08146880874807129,-0.16792694796550572,0,1
0.08101405392564338,-0.1681381257125016,0,1
-0.23403242883249836,-0.06452169876513594,0,1
